pl_name,hostname,sy_pnum,discoverymethod,disc_year,disc_locale,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,st_teff,st_mass,st_rad,sy_dist,sy_gaiamag,ra,dec
11 Com b,11 Com,1,Radial velocity,2007.0,Ground,Xinglong Station,323.21,1.178,12.2,1.09,4914.89848585,15.464,0.238,4874.0,2.09,13.76,93.1846,4.44038,185.1787793,17.7932516
11 UMi b,11 UMi,1,Radial velocity,2009.0,Ground,Thueringer Landessternwarte Tautenburg,516.21997,1.53,12.3,1.09,4684.8142,14.74,0.08,4213.0,2.78,29.79,125.321,4.56216,229.2745954,71.8239428
14 And b,14 And,1,Radial velocity,2008.0,Ground,Okayama Astrophysical Observatory,186.76,0.775,13.1,1.16,1131.15130051,3.559,0.0,4888.0,1.78,11.55,75.4392,4.91781,352.82415,39.2358367
14 Her b,14 Her,2,Radial velocity,2002.0,Ground,W. M. Keck Observatory,1766.41,2.839,12.5,1.12,2828.6728223,8.9,0.3683,5338.0,0.97,0.93,17.9323,6.383,242.6021014,43.8163621
16 Cyg B b,16 Cyg B,1,Radial velocity,1996.0,Ground,Multiple Observatories,798.5,1.66,13.5,1.2,565.7374,1.78,0.68,5750.0,1.08,1.13,21.1397,6.06428,295.4656422,50.5168243
17 Sco b,17 Sco,1,Radial velocity,2020.0,Ground,Lick Observatory,578.38,1.45,12.9,1.15,1373.01871824,4.32,0.06,4157.0,1.22,25.92,124.953,4.75429,243.4620874,-11.8377905
18 Del b,18 Del,1,Radial velocity,2008.0,Ground,Okayama Astrophysical Observatory,982.85,2.476,12.5,1.12,2926.24614325,9.207,0.024,4980.0,2.1,8.8,76.222,5.27476,314.6078375,10.8391378
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,Imaging,2008.0,Ground,Gemini Observatory,,330.0,18.647,1.664,3000.0,8.0,,4060.0,0.85,1.31316,139.135,12.0572,242.3762343,-21.0831403
24 Boo b,24 Boo,1,Radial velocity,2018.0,Ground,Okayama Astrophysical Observatory,30.33,0.194,13.9,1.24,280.64248338,0.883,0.032,4816.0,1.05,12.19,95.9863,5.3339,217.1555242,49.8446488
24 Sex b,24 Sex,2,Radial velocity,2010.0,Ground,Lick Observatory,452.8,1.333,13.4,1.19,632.46,1.99,0.09,5098.0,1.54,4.9,72.0691,6.20374,155.8684866,-0.9023998
24 Sex c,24 Sex,2,Radial velocity,2010.0,Ground,Lick Observatory,883.0,2.08,13.9,1.24,273.32,0.86,0.29,5098.0,1.54,4.9,72.0691,6.20374,155.8684866,-0.9023998
2M0437 b,2MASS J04372171+2651014,1,Imaging,2021.0,Ground,Subaru Telescope,,118.0,13.0,1.16,1271.313628,4.0,,3100.0,0.17,0.84,128.484,14.3374,69.3405531,26.8502997
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,1,Imaging,2013.0,Ground,Paranal Observatory,,84.0,12.3,1.1,4131.79,13.0,,,0.19,,47.2,,15.8992489,-55.2658291
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,Imaging,2013.0,Ground,W. M. Keck Observatory,,52.0,11.209,1.0,7786.5,24.5,,3530.0,0.4,0.36645,33.8281,12.9025,20.7128012,-24.6646128
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,Imaging,2015.0,Ground,Cerro Tololo Inter-American Observatory,,156.0,16.14096,1.44,4417.837,13.9,,3064.0,0.108,0.281,40.08964117,15.0123,34.8427046,-39.4230767
2MASS J0249-0557 c,2MASS J0249-0557 A,1,Imaging,2018.0,Ground,Mauna Kea Observatory,,1950.0,12.4,1.11,3686.8095212,11.6,,2859.0,0.046,0.315959,66.0613,15.6894,42.4851627,-5.9599921
2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,Imaging,2024.0,Space,European Space Agency (ESA) Gaia Satellite,,572.0,12.2,1.08,5720.911326,18.0,,2943.0,0.264996,0.289776,117.435,16.9967,59.7911026,20.1599759
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,Imaging,2010.0,Space,Hubble Space Telescope,,15.0,12.6,1.13,2383.6,7.5,,2936.0,0.019,0.231916,120.42398696,18.9668,70.4371079,23.0308544
2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,Imaging,2024.0,Space,European Space Agency (ESA) Gaia Satellite,,266.0,11.9,1.06,8899.195396,28.0,,,,,,18.3299,165.3295388,-77.5440912
2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,Imaging,2024.0,Space,European Space Agency (ESA) Gaia Satellite,,587.0,12.1,1.08,6356.56814,20.0,,3021.0,0.58846,0.600455,100.862,14.818,178.7691634,-79.3197558
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,Imaging,2004.0,Ground,Paranal Observatory,,46.0,15.69257298,1.4,1652.7077164,5.2,,2825.0,0.188001,0.21887,64.308,17.4076,181.8890906,-39.5484399
2MASS J19383260+4603591 b,2MASS J19383260+4603591,3,Eclipse Timing Variations,2015.0,Space,Kepler,406.0,0.92,13.4,1.2,603.877,1.9,0.33,29564.0,0.48,0.203,396.332,12.1376,294.6359173,46.0664076
